iteration,total_unmet,total_demand,pct_unmet
0,213,3161,6.738373932299906
1,475,3851,12.334458582186445
2,110,2770,3.9711191335740073
3,483,4045,11.940667490729295
4,132,3105,4.251207729468599
5,132,3519,3.751065643648764
6,158,3696,4.274891774891775
7,681,4657,14.623147949323597
8,57,2934,1.9427402862985685
9,436,3428,12.718786464410737
10,192,3297,5.823475887170155
11,334,3559,9.384658611969654
12,244,3636,6.710671067106711
13,216,3193,6.7647979956154085
14,92,2986,3.081044876088413
15,431,3634,11.86020913593836
16,198,3094,6.399482870071105
17,318,3950,8.050632911392405
18,354,3735,9.477911646586346
19,377,3925,9.605095541401273
20,538,4154,12.95137217140106
21,154,3291,4.679428745062291
22,193,3999,4.82620655163791
23,274,2974,9.213180901143241
24,132,2975,4.436974789915967
25,289,2679,10.787607316162747
26,163,3469,4.698760449697319
27,94,2841,3.3086941217881027
28,450,3437,13.092813500145475
29,317,3763,8.424129683762956
30,191,3805,5.019710906701708
31,134,3133,4.277050750079796
32,438,3741,11.708099438652766
33,612,4568,13.39754816112084
34,228,3493,6.527340395075866
35,108,3369,3.2056990204808544
36,238,4311,5.520760844351658
37,200,2592,7.716049382716049
38,408,3451,11.822660098522167
39,467,4135,11.293833131801694
40,167,3620,4.613259668508287
41,319,3930,8.11704834605598
42,456,3656,12.472647702407002
43,353,3816,9.250524109014675
44,448,3834,11.684924360980698
45,528,4485,11.77257525083612
46,107,2855,3.7478108581436076
47,229,3794,6.035846072746442
48,160,2785,5.745062836624776
49,420,4147,10.127803231251507
50,888,5253,16.90462592804112
51,47,3469,1.3548573075814356
52,76,3126,2.4312220089571337
53,161,3079,5.228970444949659
54,79,2759,2.86335628851033
55,751,4546,16.520017597888252
56,123,3689,3.334236920574681
57,278,3291,8.447280461865695
58,126,2986,4.219691895512391
59,309,3881,7.9618654985828385
60,281,4496,6.25
61,430,4102,10.482691370063383
62,186,3672,5.065359477124183
63,168,2960,5.675675675675676
64,253,3628,6.9735391400220506
65,227,3321,6.835290575127974
66,224,3242,6.909315237507712
67,188,3102,6.0606060606060606
68,175,3759,4.655493482309125
69,98,3090,3.171521035598705
70,116,3107,3.7335049887351146
71,67,2947,2.273498473023414
72,756,4244,17.813383600377
73,173,3421,5.057000876936568
74,88,2787,3.1575170434158593
75,350,3445,10.159651669085632
76,483,3300,14.636363636363637
77,63,2814,2.2388059701492535
78,146,3103,4.70512407347728
79,266,3596,7.397107897664071
80,221,3603,6.133777407715792
81,129,3297,3.912647861692448
82,32,2997,1.0677344010677345
83,199,3964,5.0201816347124115
84,250,3434,7.2801397786837505
85,248,4155,5.968712394705174
86,138,3175,4.346456692913385
87,110,2531,4.34610825760569
88,190,3339,5.690326445043426
89,120,3802,3.156233561283535
90,74,3357,2.2043491212392015
91,230,3417,6.731050629206907
92,500,3841,13.017443374121324
93,420,3442,12.20220801859384
94,45,3162,1.4231499051233396
95,42,2531,1.6594231529039907
96,116,3366,3.4462269756387403
97,352,3596,9.788654060066742
98,218,3450,6.318840579710145
99,148,2984,4.959785522788204
100,418,3950,10.582278481012658
101,158,2647,5.969021533811863
102,54,3820,1.4136125654450262
103,484,3699,13.084617464179507
104,701,3751,18.68834977339376
105,346,3788,9.134107708553326
106,153,4118,3.715395823215153
107,403,4153,9.703828557669155
108,43,2722,1.579720793534166
109,334,2909,11.481608800275009
110,466,4074,11.438389788905253
111,91,2928,3.1079234972677594
112,92,4315,2.1320973348783316
113,110,3147,3.4953924372418177
114,544,3876,14.035087719298245
115,339,3541,9.573566789042644
116,1022,4491,22.756624359830774
117,231,3069,7.526881720430108
118,101,2892,3.492392807745505
119,229,3437,6.662787314518476
120,779,4087,19.060435527281623
121,150,3447,4.351610095735422
