DistrictName,AgeGroup,Population,DistrictCode
Gaborone,46–50,14282,1
Gaborone,51–55,9935,1
Gaborone,56–60,6560,1
Gaborone,61–65,4189,1
Gaborone,66+,5171,1
Ghanzi,<1,574,72
Ghanzi,1–5,2967,72
Ghanzi,6–10,2751,72
Ghanzi,11–15,2177,72
Ghanzi,16–20,1881,72
Ghanzi,21–25,2696,72
Ghanzi,26–30,3241,72
Ghanzi,31–35,3025,72
Ghanzi,36–40,2762,72
Ghanzi,41–45,1990,72
Ghanzi,46–50,1501,72
Ghanzi,51–55,1012,72
Ghanzi,56–60,751,72
Ghanzi,61–65,508,72
Ghanzi,66+,871,72
Ghanzi Farms,<1,20,74
Ghanzi Farms,1–5,111,74
Ghanzi Farms,6–10,66,74
Ghanzi Farms,11–15,51,74
Ghanzi Farms,16–20,79,74
Ghanzi Farms,21–25,152,74
Ghanzi Farms,26–30,261,74
Ghanzi Farms,31–35,240,74
Ghanzi Farms,36–40,279,74
Ghanzi Farms,41–45,182,74
Ghanzi Farms,46–50,148,74
Ghanzi Farms,51–55,83,74
Ghanzi Farms,56–60,67,74
Ghanzi Farms,61–65,57,74
Ghanzi Farms,66+,123,74
Jwaneng,<1,279,6
Jwaneng,1–5,1554,6
Jwaneng,6–10,1849,6
Jwaneng,11–15,1620,6
Jwaneng,16–20,1229,6
Jwaneng,21–25,1451,6
Jwaneng,26–30,1806,6
Jwaneng,31–35,2033,6
Jwaneng,36–40,2416,6
Jwaneng,41–45,1860,6
Jwaneng,46–50,1168,6
Jwaneng,51–55,808,6
Jwaneng,56–60,395,6
Jwaneng,61–65,160,6
Jwaneng,66+,162,6
Kasane,<1,9,81
Kasane,1–5,36,81
Kasane,6–10,47,81
Kasane,11–15,36,81
Kasane,16–20,38,81
Kasane,21–25,35,81
Kasane,26–30,46,81
Kasane,31–35,46,81
Kasane,36–40,43,81
Kasane,41–45,39,81
Kasane,46–50,23,81
Kasane,51–55,24,81
Kasane,56–60,21,81
Kasane,61–65,10,81
Kasane,66+,33,81
Kgalagadi North,<1,2174,71
Kgalagadi North,1–5,11546,71
Kgalagadi North,6–10,9619,71
Kgalagadi North,11–15,7912,71
Kgalagadi North,16–20,6128,71
Kgalagadi North,21–25,5405,71
Kgalagadi North,26–30,6054,71
Kgalagadi North,31–35,5144,71
Kgalagadi North,36–40,5088,71
Kgalagadi North,41–45,3767,71
Kgalagadi North,46–50,2794,71
Kgalagadi North,51–55,2063,71
Kgalagadi North,56–60,1818,71
Kgalagadi North,61–65,1431,71
Kgalagadi North,66+,3887,71
Kgalagadi Rural,<1,728,90
Kgalagadi Rural,1–5,4348,90
Kgalagadi Rural,6–10,4024,90
Kgalagadi Rural,11–15,3557,90
Kgalagadi Rural,16–20,2994,90
Kgalagadi Rural,21–25,2578,90
Kgalagadi Rural,26–30,2826,90
Kgalagadi Rural,31–35,2533,90
Kgalagadi Rural,36–40,2554,90
Kgalagadi Rural,41–45,2211,90
Kgalagadi Rural,46–50,1926,90
Kgalagadi Rural,51–55,1314,90
Kgalagadi Rural,56–60,1167,90
Kgalagadi Rural,61–65,816,90
Kgalagadi Rural,66+,1746,90
Kgalagadi South,<1,2721,70
Kgalagadi South,1–5,14985,70
Kgalagadi South,6–10,13492,70
Kgalagadi South,11–15,11446,70
Kgalagadi South,16–20,9958,70
Kgalagadi South,21–25,9891,70
Kgalagadi South,26–30,11286,70
Kgalagadi South,31–35,10704,70
Kgalagadi South,36–40,10242,70
Kgalagadi South,41–45,7339,70
Kgalagadi South,46–50,5056,70
Kgalagadi South,51–55,3747,70
Kgalagadi South,56–60,3052,70
Kgalagadi South,61–65,2162,70
Kgalagadi South,66+,4405,70
Kgatleng,<1,2357,40
Kgatleng,1–5,12505,40
Kgatleng,6–10,11586,40
Kgatleng,11–15,10369,40
Kgatleng,16–20,10033,40
Kgatleng,21–25,10283,40
Kgatleng,26–30,10550,40
Kgatleng,31–35,9852,40
Kgatleng,36–40,9877,40
Kgatleng,41–45,8273,40
Kgatleng,46–50,6393,40
Kgatleng,51–55,5063,40
Kgatleng,56–60,3953,40
Kgatleng,61–65,3441,40
Kgatleng,66+,7282,40
Kweneng Central,<1,3890,32
Kweneng Central,1–5,19153,32
Kweneng Central,6–10,16942,32
Kweneng Central,11–15,15011,32
Kweneng Central,16–20,16963,32
Kweneng Central,21–25,20772,32
Kweneng Central,26–30,21491,32
Kweneng Central,31–35,19247,32
Kweneng Central,36–40,17842,32
Kweneng Central,41–45,13839,32
Kweneng Central,46–50,9716,32
Kweneng Central,51–55,6623,32
Kweneng Central,56–60,4869,32
Kweneng Central,61–65,3580,32
Kweneng Central,66+,6475,32
Kweneng East,<1,2890,30
Kweneng East,1–5,15412,30
Kweneng East,6–10,14953,30
Kweneng East,11–15,13385,30
Kweneng East,16–20,11505,30
Kweneng East,21–25,10111,30
Kweneng East,26–30,10557,30
Kweneng East,31–35,10561,30
Kweneng East,36–40,10864,30
Kweneng East,41–45,9026,30
Kweneng East,46–50,6947,30
Kweneng East,51–55,5498,30
Kweneng East,56–60,4210,30
Kweneng East,61–65,3874,30
Kweneng East,66+,8585,30
Kweneng West,<1,1246,31
Kweneng West,1–5,6882,31
Kweneng West,6–10,6299,31
Kweneng West,11–15,5231,31
Kweneng West,16–20,4181,31
Kweneng West,21–25,3539,31
Kweneng West,26–30,3893,31
Kweneng West,31–35,3600,31
Kweneng West,36–40,3739,31
Kweneng West,41–45,2852,31
Kweneng West,46–50,2351,31
Kweneng West,51–55,1868,31
Kweneng West,56–60,1686,31
Kweneng West,61–65,1435,31
Kweneng West,66+,3485,31
Lobatse,<1,534,3
Lobatse,1–5,2695,3
Lobatse,6–10,3056,3
Lobatse,11–15,2915,3
Lobatse,16–20,2617,3
Lobatse,21–25,2565,3
Lobatse,26–30,2835,3
Lobatse,31–35,2622,3
Lobatse,36–40,2737,3
Lobatse,41–45,2255,3
Lobatse,46–50,1660,3
Lobatse,51–55,1168,3
Lobatse,56–60,796,3
Lobatse,61–65,474,3
Lobatse,66+,849,3
Ngamiland East,<1,1644,10
Ngamiland East,1–5,9045,10
Ngamiland East,6–10,8528,10
Ngamiland East,11–15,8082,10
Ngamiland East,16–20,6591,10
Ngamiland East,21–25,5446,10
Ngamiland East,26–30,5635,10
Ngamiland East,31–35,5266,10
Ngamiland East,36–40,5568,10
Ngamiland East,41–45,4749,10
Ngamiland East,46–50,3686,10
Ngamiland East,51–55,3252,10
Ngamiland East,56–60,2782,10
Ngamiland East,61–65,2383,10
Ngamiland East,66+,5970,10
Ngamiland West,<1,889,21
Ngamiland West,1–5,4536,21
Ngamiland West,6–10,4176,21
Ngamiland West,11–15,3718,21
Ngamiland West,16–20,5455,21
Ngamiland West,21–25,8190,21
Ngamiland West,26–30,7179,21
Ngamiland West,31–35,5832,21
Ngamiland West,36–40,5003,21
Ngamiland West,41–45,3862,21
Ngamiland West,46–50,2854,21
Ngamiland West,51–55,1902,21
Ngamiland West,56–60,1286,21
Ngamiland West,61–65,884,21
Ngamiland West,66+,1347,21
Ngwaketse Central,<1,1053,13
Ngwaketse Central,1–5,5864,13
Ngwaketse Central,6–10,5805,13
Ngwaketse Central,11–15,5403,13
Ngwaketse Central,16–20,4459,13
Ngwaketse Central,21–25,3514,13
Ngwaketse Central,26–30,3412,13
Ngwaketse Central,31–35,3286,13
Ngwaketse Central,36–40,3614,13
Ngwaketse Central,41–45,3180,13
Ngwaketse Central,46–50,2585,13
Ngwaketse Central,51–55,2207,13
Ngwaketse Central,56–60,1853,13
Ngwaketse Central,61–65,1768,13
Ngwaketse Central,66+,4308,13
Ngwaketse West,<1,703,12
Ngwaketse West,1–5,3976,12
Ngwaketse West,6–10,3646,12
Ngwaketse West,11–15,3134,12
Ngwaketse West,16–20,2613,12
Ngwaketse West,21–25,2360,12
Ngwaketse West,26–30,2700,12
Ngwaketse West,31–35,2440,12
Ngwaketse West,36–40,2513,12
Ngwaketse West,41–45,1773,12
Ngwaketse West,46–50,1503,12
Ngwaketse West,51–55,1172,12
Ngwaketse West,56–60,979,12
Ngwaketse West,61–65,753,12
Ngwaketse West,66+,1702,12
North East,<1,1386,60
North East,1–5,8477,60
North East,6–10,8471,60
North East,11–15,7374,60
North East,16–20,5188,60
North East,21–25,4402,60
North East,26–30,4766,60
North East,31–35,4846,60
North East,36–40,4868,60
North East,41–45,4045,60
North East,46–50,3274,60
North East,51–55,2640,60
North East,56–60,2400,60
North East,61–65,2204,60
North East,66+,4958,60
Orapa,<1,139,5
Orapa,1–5,834,5
Orapa,6–10,1173,5
Orapa,11–15,911,5
Orapa,16–20,601,5
Orapa,21–25,484,5
Orapa,26–30,494,5
Orapa,31–35,724,5
Orapa,36–40,1028,5
Orapa,41–45,1015,5
Orapa,46–50,676,5
Orapa,51–55,334,5
Orapa,56–60,135,5
Orapa,61–65,35,5
Orapa,66+,56,5
Pandamatenga,<1,389,82
Pandamatenga,1–5,2132,82
Pandamatenga,6–10,1864,82
Pandamatenga,11–15,1630,82
Pandamatenga,16–20,1258,82
Pandamatenga,21–25,1354,82
Pandamatenga,26–30,1549,82
Pandamatenga,31–35,1468,82
Pandamatenga,36–40,1337,82
Pandamatenga,41–45,1145,82
Pandamatenga,46–50,896,82
Pandamatenga,51–55,641,82
Pandamatenga,56–60,541,82
Pandamatenga,61–65,445,82
Pandamatenga,66+,857,82
Selebi-Phikwe,<1,774,4
Selebi-Phikwe,1–5,4380,4
Selebi-Phikwe,6–10,4957,4
Selebi-Phikwe,11–15,4615,4
Selebi-Phikwe,16–20,4054,4
Selebi-Phikwe,21–25,3023,4
Selebi-Phikwe,26–30,3458,4
Selebi-Phikwe,31–35,3318,4
Selebi-Phikwe,36–40,3776,4
Selebi-Phikwe,41–45,3188,4
Selebi-Phikwe,46–50,2331,4
Selebi-Phikwe,51–55,1607,4
Selebi-Phikwe,56–60,1012,4
Selebi-Phikwe,61–65,686,4
Selebi-Phikwe,66+,1147,4
South East,<1,982,20
South East,1–5,5025,20
South East,6–10,5053,20
South East,11–15,4691,20
South East,16–20,4574,20
South East,21–25,4430,20
South East,26–30,4514,20
South East,31–35,4613,20
South East,36–40,4521,20
South East,41–45,4066,20
South East,46–50,3189,20
South East,51–55,2576,20
South East,56–60,1947,20
South East,61–65,1669,20
South East,66+,3243,20
Sowa Town,<1,39,7
Sowa Town,1–5,285,7
Sowa Town,6–10,333,7
Sowa Town,11–15,283,7
Sowa Town,16–20,214,7
Sowa Town,21–25,265,7
Sowa Town,26–30,360,7
Sowa Town,31–35,342,7
Sowa Town,36–40,354,7
Sowa Town,41–45,285,7
Sowa Town,46–50,235,7
Sowa Town,51–55,176,7
Sowa Town,56–60,72,7
Sowa Town,61–65,10,7
Sowa Town,66+,11,7
Tsabong,<1,470,91
Tsabong,1–5,2596,91
Tsabong,6–10,2405,91
Tsabong,11–15,2134,91
Tsabong,16–20,1817,91
Tsabong,21–25,1866,91
Tsabong,26–30,2226,91
Tsabong,31–35,1917,91
Tsabong,36–40,1964,91
Tsabong,41–45,1509,91
Tsabong,46–50,1125,91
Tsabong,51–55,849,91
Tsabong,56–60,756,91
Tsabong,61–65,472,91
Tsabong,66+,1376,91
