,source_name
171566-3,Botswelelo Clinic
256522-4,Botswana Police College
419499-9,Botshelo Clinic
198322-0,Botshabelo Clinic
457469-5,Botsalano Clinic
751658-6,Botlhapatlou Clinic
646788-0,Bothatogo Health Post
622014-9,Botalaote/Toteng Health Post
693957-3, Boswelakoko Clinic
176459-6,Boseja Clinic
169913-1,Boseja 2  Clinic
467438-8,Butale Health Post
335661-5,Chadibe Clinic
849574-9,Changate Health Post
1060319-9,Chanoga Health Post
306646-1,Diloro Health Post
223705-5,Dilolwe Clinic
375485-0,Dikwididi Health Post
143993-4,Dikhukhung Health Post
500663-0,Dikgonnye Health Post
221016-9,Digawana Clinic
356155-2,Dibete Health Post
708962-6,Diphuduhudu Health Post
194690-4,Diabo Health Post
264929-1,Damochujenaa Health Post
433538-6,Dagwi Health Post
325783-9,D'kar Health Post
950587-6,Cwagare Health Post
895295-4,Chukumuchu Health Post
933031-7,Chobokwane Health Post
298782-4,Charleshill Clinic
758579-7,Deborah Retief Memorial Hospital
249838-4,Ghani Health Post
34897-9,Glen Valley Clinic
866139-9,Gobojango Health Post
332865-5,Kediretswe Clinic 
474061-9,Kedia Health  Post
283972-8,Kazungula Health Post
189383-3,Kazungula BDF Health Post
807923-8,Kavimba Clinic 
290937-2,Kauxwi Health Post
516649-1,Kaudwane Health Post
503447-5,Kasane Prisons Health Post
833536-6,Kasane Health Post
789739-0,Kareng Clinic
481025-5,Karakubis Clinic
804526-2,Kanye Prison Health Post
406209-7,Kanngwe Health Post
490102-1,Kang Clinic
460350-2,Kalfontein Clinic
911481-0,Keng Health Post
496348-4,Kgari  Health  Post
155318-9,Kgatelopele/Block 8 Clinic
368151-7,Kgatleng Emergency Medical Services
429230-6,Khwee Health Post
418397-6,Khurutshe Health Post
451025-1,Khurumela Clinic 
556891-0,Khumaga  Health  Post
1018376-2,Khuis Health Post
977674-1,Khudumelapye Clinic
475203-6,Khonkhwa Health Post
932660-4,Kalakamati Health Post
326823-2,Khekhenye Health Post
390975-1,Khakhea Clinic
869718-7,Kgwatlheng Clinic
422403-6,Kgosing Clinic
628767-6,Kgoro Health Post
722327-4,Kgope Health Post
321664-5,Kgomokasitwa Health Post
439627-1,Kgomodiatshaba Health Post
358097-4,Khawa Health Post
239497-1,Kajaja Health Post
678455-7,Kagiso Clinic
415277-3,Kadimo Samson Clinic
646188-3,Habu Health Post
766569-8,Gweta Primary Hospital
